Что,Где,Когда,Кто,Тип,Столбец 6,Оценка,Откуда,Тэги,Жанр,Фича,РАЗНЕСЛИ:,6884,,,,,,
8) Sheena Ringo — Sakuran - Confusion(ONKIO ver) {Смятение / Derangement},https://open.spotify.com/track/47Qz6mcAB5LRsT1tD6V97Z?si=-jJwWSTHQ2OQxNNQlW57cQ&utm_source=copy-link,,@vdlas2,очередь,,атлична++,,,джаз / фолк,,,,,,,,,
9) Jim Carrey — Cuban Pete (José Norman — Cuban Pete; Cover) [OST; The Mask / Маска],https://youtu.be/jA4u5Pur5KA?si=M0iToD-LFbFv3AO9,,upucka18,очередь,,атлична,Фильм,cover,фолк / джаз,,,,,,,,,
10) OneRepublic — All the Right Moves (Official Music Video),https://youtu.be/qrOeGCJdZe4?si=4LXmoVe8NzdbxiKQ,,Silicatium,очередь,,хорошечно - -,,,поп-рок,,,,,,,,,
11) Shiro Sagisu — A Storm is Coming to Us All [OST; Magi: The Kingdom of Magic / Маги: Королевство магии],https://open.spotify.com/track/2QuJZJVUZvzUb0PnxlDrrt?si=,,Mugetsu21,очередь,,нормас++,Аниме,,оркестровое,,,,,,,,,
12) Megadeth — Take No Prisoners,https://open.spotify.com/track/0xa5WQdm7mnY9dviqejc2z?si=dcd568a3a1604d3e,,Daymis_,очередь,,атлична++,,,метал,,,,,,,,,
13) A Tergo Lupi — Irae {Гнев / Wrath},https://youtu.be/TDs8wxWW8t0?si=XKzfN7sNFPiHbsbv,,@TheAdya,очередь,,атлична++,,,фолк,,,,,,,,,
14) FLAVOR FOLEY feat. Eleanor Forte — weathergirl,https://youtu.be/M7VSEZOQIlg?si=IcC1W0kGNonJ3ujs,,Cybrex,очередь,,хорошечно-,,,поп / электронное,,,,,,,,,
15) SEREBRO — Sound Sleep,https://open.spotify.com/track/6n9mJVI8qL0Dz0oBbakql2?si=UjdVCHN4Sum7YrjjIAIY0Q&utm_source=copy-link,,DOUBLEYU,очередь,,атлична,,,электронное / инди / рок,,,,,,,,,
16) The Meto — Шут {The Jester},https://open.spotify.com/track/5514IzAbwqL4AtlrH8udFV?si=c93c1da7b5034b02,,@July_10th,очередь,,нормас,,,инди / рок,,,,,,,,,
17) Saidian — Once in My Dreams,https://open.spotify.com/track/7sPMeHp2y8j8e9r2XIHgtY?si=0ae21b8147c94fd6,,Monstrrro,очередь,,нормас,,,метал / баллада,,,,,,,,,
18) Игорь Куликов & Roro Ai‬ — IRIS OUT (Kenshi Yonezu - IRIS OUT; RU Cover) [OST; Chainsaw Man – The Movie: Reze Arc / Человек-бензопила. Фильм: История Резе],https://youtu.be/tDAnUtQF4h4?si=3M0kfXHqU9brAaPo,,@Gishaqw,очередь,,хорошечно-,Аниме,,поп,,,,,,,,,
19) Faouzia — UNETHICAL (Official Music Video),https://youtu.be/I1zqCX3Dvxo,,Enotishche,очередь,,нормас++,,,баллада / оркестровое / поп,хороший вокал,,,,,,,,
20) Higuchi Ai — Who {Кто / Dare / 誰} [OST; Ano Ko wa Dare? / Who’s That Girl? / Кто это?],https://youtu.be/tBBevFZtIDA,,mage10,очередь,,атлична,Фильм,,инди,,,,,,,,,
СТРИМ №273 (29.08.26),https://vkvideo.ru/video-182074546_456239421,, ,,,,,,,,,,,,,,,
 ,Пришло треков: ,, ,,,,,,,,,,,,,,,
1) The Brilliant Green — Rainy days never stays(album mix),https://disk.yandex.ru/d/-kxAujhiDX-FdA,22:25,kittycassio,донат,р.2 891,хорошечно++,,,инди / поп-рок,,,,,,,,,
2) Kiyono Yasuno — FALLEN (Сейю: Princess Renner) [OST; Overlord IV / Повелитель 4] + Котик Боня,https://open.spotify.com/track/0yejpBCFSsAICcWQ4ZZPMc?si=b7c525e5988d4567,39:10,DzenDish,долг Х8🌋,р.1 100,атлична - -,Аниме,,оркестровое / инди,,,,,,,,,
3) Alex Terrible & Dunik — 3 сентября (Михаил Шуфутинский - 3 сентября; Mashup; Cover) + Котик Боня,https://t.me/c/2021455695/123205,48:00,MeinJurer,донат,р.5 000,нормас,,"meme, cover, mashup",метал,,,,,,,,,
4) Yasuharu Takanashi feat. Noora Louhimo — BEYOND THE QUEST [OST; Fairy Tail: 100 Years Quest / Хвост Феи: Столетний квест],https://open.spotify.com/track/1KEP4PcQMYDRFxT2xTmnYL?si=bc0a6b1c724d4449,1:03:30,DzenDish,долг Х7🥀,р.1 100,нормас+,Аниме,,метал,,,,,,,,,
5) StudioEDM — Moonlight Shadow(Nightcore),https://www.youtube.com/watch?v=tIySV6hJz5U,1:17:15,AShibaT,донат,р.4 000,ну такое+,,ai,поп / электронное,,,,,,,,,
6) Cold Night for Alligators — .44 Lifeline,https://www.youtube.com/watch?v=qJS2rQPLDSA&list=RDqJS2rQPLDSA&start_radio=1,1:29:55,Hantrik,долг Х6👻,р.1 302,хорошечно - -,,,метал / инди,,,,,,,,,
7) Blonde Redhead — Pink Love,https://music.yandex.ru/album/2899911/track/6704298,2:03:00,Indie Anthems,донат,р.2 800,хорошечно++,,,инди / баллада,,,,,,,,,
"8) Tomori Kusunoki — Hamidashimono {Белая ворона / White crow / The Misfit / ハミダシモノ} [1 Ending The Misfit of Demon King Academy / Непризнанный школой владыка демонов! Сильнейший владыка демонов в истории поступает в академию, переродившись своим потомком]",https://open.spotify.com/track/7zmcWkQvzc9bYzOUx29aI1?si=510ef90baac84bfb,2:18:40,Максим Киберспорт,долг Х5⚰️,р.1 000,хорошечно++,Аниме,,инди / рок,,,,,,,,,
9) Машина Времени — Он был старше её {He Was Older Than Her},https://www.youtube.com/watch?v=DOhv72jFOxI,2:33:05,Rtur,донат,р.2 222,атлична - -,,,инди / баллада,,,,,,,,,
10) Ария — Штиль {The calm} + Котик Боня,https://open.spotify.com/track/3wDj9zAozRW7nliJeWYZOX?si=230ae2823bbd4583,2:42:30,SinWarlock,долг Х4☠️,р.1 400,атлична-,,,метал / баллада,,,,,,,,,
11) A Lot Like Birds — Orange Time Machines Care,https://music.yandex.ru/album/1825762/track/16655914?utm_source=desktop&utm_medium=copy_link,2:56:00,Indie Anthems,донат,р.3 000,атлична-,,progressive,инди / рок,,,,,,,,,
12) Ludwig Göransson — Ithaca [OST; The Odyssey / Одиссея],https://open.spotify.com/track/7uXHip6O0uQHqHrewyUctI?si=e614df80851645cd,3:09:15,Alan008,долг Х3💀,р.2 000,гениально - -,Фильм,,оркестровое / фолк / электронное / инструментал,,,,,,,,,
13) Soala — Koe no Kiseki {След голоса / Trace of Voice / 声の軌跡} [1 Ending Tune In to the Midnight Heart / Полуночный мотив сердца],https://open.spotify.com/track/0N5YLuTIySy1APi9rmSGfj,3:21:35,wend1g,донат,р.3 000,нормас+,Аниме,,поп,,,,,,,,,
14) The Reign of Kindo — Great Blue Sea,https://open.spotify.com/track/3Nj2LHRyOzHYx8xbRqtlMT?si=5d826547a7584cc6,3:29:55,scuk0_bl1n,долг Х2,р.2 210,атлична+,,progressive,инди / рок,,,,,,,,,
15) Burzum — Jesus' Tod {Смерть Иисуса / Jesus' Death / Jesu Død},https://open.spotify.com/track/2XHG1C3ksw9EAclBFDYZ2M?si=cb5409a299ae4277,,PathologicFrolic,донат,р.2 900,атлична,,,метал / инди,,,,,,,,,
16) -45 — Xna (альбом Malice Call),https://www.youtube.com/watch?v=pru3jsdvcqE&list=PLJeeFv8ND17EaZ5YvuXnBeI9LirxsgHoa&index=7,,blackydreamy,долг,р.3 000,ну такое++,,,электронное / инструментал,,,,,,,,,
17) 9Lana — Rasen {Спираль / Spiral} [1/4 Ending Bleach: Thousand-Year Blood War - The Calamity / Блич: Тысячелетняя кровавая война — Бедствие],https://youtu.be/5mUkMs-jE6c?si=aHL9qlL4kzXCLymY,,Aleks kun,донат,р.2 500,хорошечно,Аниме,,рок,хороший вокал,,,,,,,,
18) Burzum — Dunkelheit {Тьма / Darkness},https://open.spotify.com/track/5v3TSHYm8BzbON2u6QBEG7?si=265bc38aeac44635,,PathologicFrolic,заказ,ТРЕК ВНЕ ОЧЕРЕДИ,гениально - -,,,метал / инди,,,,,,,,,
18.5) Просто слушаем короткий трек от донатера,https://www.youtube.com/watch?v=cXF6lwns-fM,,Саня,,,,,,,,,,,,,,,
19) ALI — WILD ANGEL,https://www.youtube.com/watch?v=g_cpUzpT6Ig,,Sheruka,долг Х8🌋,р.1 030,хорошечно,,,фанк / поп,,,,,,,,,
20) shallm — Tadaima no Basho {Место для возвращения / Place I Come Home To / ただいまの場所} [1 Ending Neko to Ryuu / The Cat and the Dragon / Кошка и дракон],https://www.youtube.com/watch?v=CuPyVWq5Bes,,JustKindStranger,донат,р.3 000,атлична - -,Аниме,,поп-рок / поп / баллада,,,,,,,,,
21) Maaya Sakamoto — Dokuhaku {Монолог / Soliloquy} [OST; Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 1 - Wandering; Agateram / Судьба/Великий приказ: Камелот — Странствие],https://youtu.be/jECVRY6yS1s,,mage10,долг Х7🥀,р.1 300,хорошечно++,Аниме,,инди / рок,,,,,,,,,
22) Necrophagist — Fermented Offal Discharge,https://open.spotify.com/track/3RMXNhAwmWnPy90aaFQJxT?si=a863b242697d47e3,,PathologicFrolic,донат,р.13 200,атлична,,progressive ,метал,,,,,,,,,
"23) Красная Плесень — Панки, хой! Победа наша!(New hard version) {Punks, Hoi! Victory Is Ours!}",https://open.spotify.com/track/2p50lpF0lx2cU9fXplGdQM?si=0ce72bd44fa743877,,MeinJurer,донат,р.10 250,нормас,,meme,метал,ВСРАТЫЙ ПАНК!!!,,,,,,,,
СТРИМ №272 (26.08.26),https://vkvideo.ru/video-182074546_456239420,, ,,,,,,,,,,,,,,,
 ,Пришло треков: 26,, ,,,,,,,,,,,,,,,
1) ClascyJitto — Yeehaw Deliveryboy (FastFood Saloon) [Pizza Tower OST],https://youtu.be/M-dr4viC_hY,26:05,eurodance_with_cat,заказ,р.1 000,хорошечно - -,Игра,,инди / инструментал,вот это поворот,,,,,,,,
2) Motoi Sakuraba — Flame of Hope [Tales of Arise OST],https://open.spotify.com/track/2LRj7dos9qXcoMSJZ7E9xy?autoplay_ok=1,35:30,wend1g,донат,р.3 000,хорошечно - -,Игра,,инструментал / оркестровое / поп,,,,,,,,,
3) Линда — Ворона {Crow},https://www.youtube.com/watch?v=54CkirSI-ms,50:20,Константин Бах,долг Х3💀,р.1 400,атлична,,,инди / поп,,,,,,,,,
4) Masayoshi Soken feat. Sam Carter & Amanda Achen — Endwalker - Footfalls [Final Fantasy XIV: Endwalker OST],https://open.spotify.com/track/0Ku7KIVbHPhkwSJREXE4Bf?si=4710671b64e64c86,1:05:20,Lazycat,донат,р.3 100,хорошечно-,Игра,progressive,рок / инди,плохое сведение,,,,,,,,
5) Youssou N’Dour & Neneh Cherry — 7 Seconds,https://www.youtube.com/watch?v=wqCpjFMvz-k,1:30:50,Gryryfytygy,долг Х2,р.2 012,атлична - -,,,поп / инди,,,,,,,,,
6) Svd_bb — Лайтсберг Евгений,https://disk.yandex.com/d/VdtRDlGwZ1zHaA,2:00:10,kumashisan,заказ,ТРЕК ВНЕ ОЧЕРЕДИ,гениально+,,"meme, ai",поп-рок,ЛАЙСТБЕРГ ЛАЙТСБЕРГ,,,,,,,,
7) Electric Light Orchestra — Shangri-La,https://open.spotify.com/track/6p48AsXt0IBCamEdRPngjb?si=-pAA9G-_R-aiMioKUT0ZMQ,2:14:35,Alan008,донат,р.2 611,гениально - -,,,оркестровое / инди / поп-рок / баллада,,,,,,,,,
8) Tsumiki feat. KAFU — phony {Фальшивка / フォニイ},https://www.youtube.com/watch?v=9QLT1Aw_45s,2:28:20,Derpy_0,долг,р.2 300,хорошечно+,,,электронное / поп,,,,,,,,,
9) AnythingBecomeMoe feat. Kasane Teto — YARARARA {BLAHBLAHBLAHBLAH / ヤラララ},https://www.youtube.com/watch?v=T24rF_x0TmQ,2:39:45,Lazycat,донат,р.4 500,атлична-,,,электронное / поп,,,,,,,,,
10) Buffy Sainte-Marie — Johnny Be Fair,https://open.spotify.com/track/73NEDl0unPy0xgtUHOTbZq,2:48:15,Triple_AI,долг Х7🥀,р.1 200,атлична - -,,,фолк / поп,,,,,,,,,
11) Kunteynir — Пошол ты сам нахуй {Go Yourself / Fuck You Yourself / Пошёл ты сам..},https://open.spotify.com/track/2JYfjUmNeGH1C0zTXeUxJU?si=00c8be344a1942ad,2:55:45,Gryryfytygy,донат,р.3 622,атлична,,progressive,электронное / инди / разное,,,,,,,,,
"12) Meaningful Stone — Beep-Boop, Beep-Boop {삐뽀삐뽀}",https://open.spotify.com/track/579uHOz2E7JtV3YNNOwJqu?si=166277b1e42d422f,3:10:00,laitsberg,заказ,ТРЕК ВНЕ ОЧЕРЕДИ,гениально - - ,,,инди / поп-рок,,,,,,,,,
13) hide — BEAUTY & STUPID,https://open.spotify.com/track/13yYJie5aJCiXdLEFdtHCI?si=89So6RgETCOiSfO9ihrkjw&utm_source=copy-link,3:18:30,kumashisan,заказ,ТРЕК ВНЕ ОЧЕРЕДИ,атлична - -,,,рок,,,,,,,,,
14) LiSA — Shirogane {Серебро / White silver / 白銀} [1 Ending Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train / Клинок рассекающий демонов: Бесконечный поезд. Фильм],https://www.youtube.com/watch?v=5whFTc6SaI8,3:27:15,DzenDish,долг Х6👻,р.1 100,нормас++,Аниме,,рок ,,,,,,,,,
"15) Pavel Chesnokov, St. Petersburg Chamber Choir, Nikolai Korniev — We Praise Thee {Тебе хвалим} (Live)",https://open.spotify.com/track/3ZxaQKsBl6WNDsN2xpt9C5?si=f580aa72414948a0,3:43:15,Derpy_0,донат,р.3 100,атлична,,live,разное,,,,,,,,,
15.5) Faryma.composer показывает пресеты окружения у микрофона,Стрим,3:50:45,Faryma.composer,,,,,,,,,,,,,,,
16) System of a Down — Vicinity of Obscenity,https://open.spotify.com/track/5uMTA9SIe0sE4dnHHSHaYz?si=25ebc4abe95346cf,3:57:40,Летта,долг Х5⚰️,р.1 511,атлична+,,,инди / метал,,,,,,,,,
17) Muto — Roshin Yuukai {Расплавление / Meltdown / 炉心融解} (iroha(sasaki) feat. Kagamine Rin — Roshin Yuukai; Cover),https://music.youtube.com/watch?v=RcYKOa4vyRI&si=6C70uXhVno9M1beg,4:07:25,Максим Киберспорт,донат,р.4 000,атлична+,,cover,,,,,,,,,,
18) The Brilliant Green — Nagai Tameiki no Youni {長いため息のように / Like a Long Sigh},https://disk.yandex.ru/d/Tl9lZkXIaBLVoA,4:23:25,kittycassio,донат,р.3 277,атлична - -,,,инди / рок,,,,,,,,,
19) Nornis — Johari {Джохари / Johari / ジョハリ},https://www.youtube.com/watch?v=66FfVXogNUc,4:36:45,AndrLord; Ivan_Vitalyevich,долг Х4☠️,р.1 000,атлична-,,,поп / инди,,,,,,,,,
20) DIALOGUE+ — Hajimete no Kakumei! {Первая революция! / Hajimete no Kakumei! / はじめてのかくめい！} [1 Opening CHOYOYU!: High School Prodigies Have It Easy Even in Another World! / Сверходарённым школьникам даже другой мир нипочём!],https://www.youtube.com/watch?v=90NEq0crq-Y,4:54:10,kumashisan; Ivan_Vitalyevich,заказ,р.1 500,атлична+,Аниме,progressive,поп / поп-рок,,,,,,,,,
21) Yasuharu Takanashi & Hiromi Mizutani — Sakura Fubuki {Метель из лепестков сакуры / Sakura Snowstorm / 桜吹雪} [OST; Hell Girl / Адская девочка],https://www.youtube.com/watch?v=G0SPQ8QXa3g,5:10:45,Алконавт,донат,р.3 000,хорошечно - -,Аниме,,рок / оркестровое / инструментал,,,,,,,,,
21.1) Faryma.composer импровизирует на тему трека,Стрим,5:22:50,Faryma.composer,,,,,,,,,,,,,,,
21.2) Faryma.composer сватует чат на стриме #12,Стрим,5:32:25,Faryma.composer,,,,,,,,,,,,,,,
СТРИМ №271 (22.08.26),https://vkvideo.ru/video-182074546_456239419,, ,,,,,,,,,,,,,,,
 ,Пришло треков: 34,, ,,,,,,,,,,,,,,,
1) Dr. Dre & Ice Cube — Natural Born Killaz [OST; Murder Was the Case / Убийство было делом],https://youtu.be/w8sDp65dyeA?t=80,13:30,Rtur,донат,р.2 222,атлична+,Фильм,,рэп,,,,,,,,,
"2) Frederic — Nonsense Nonsense {Бессмыслица, бессмыслица / Nonsense Nonsense / ナンセンスナンセンス} [11 Ending Aware! Meisaku-kun / Всезнайка Мэйсаку!]",https://open.spotify.com/track/1jGaAEq1siWBT18msX0zfJ?si=27963336c6724995,27:00,Svd_bb,долг Х7🥀,р.1 150,атлична - -,Аниме,,поп / инди / поп-рок,,,,,,,,,
"3) Flёur — Эйфория {Euphoria} (Live; ЦДХ, Москва 2011)",https://youtu.be/qhKUjI2IUe0?si=uuw0YIwXr0i8Llmf,35:55,Чай который святой,донат,р.2 500,нормас,,live,фолк / поп,ЭСТЕТИКА ЛЮБИТЕЛЬСКОЙ ЗАПИСИ ЛАЙВА,,,,,,,,
4) MYTH & ROID — ANGER/ANGER [1 Ending Bubuki Buranki / Бубуки Буранки],https://www.youtube.com/watch?v=TbCBIGnQUqM,51:45,DzenDish,заказ,ТРЕК ВНЕ ОЧЕРЕДИ,хорошечно++,Аниме,,метал / электронное,,,,,,,,,
5) Giant Claw & galen tipton & diana starshine — CRASH,https://open.spotify.com/track/3zaC23UOvpBsmwvQzILdlA,1:05:20,Matumbafan89,долг Х6👻,р.1 150,атлична+,,progressive,электронное / инди,,,,,,,,,
6) Sou — Chocolate Town {Шоколадный город / Chocolate Town / チョコレートタウン},https://youtu.be/IpJm83lynUM?si=FvSETYujxVMNwxwP,1:38:35,kumashisan,заказ,ТРЕК ВНЕ ОЧЕРЕДИ,хорошечно++,,,поп-рок,,,,,,,,,
7) Bloody Cumshot — Vaginal Fluid Harvester,https://open.spotify.com/track/773vW0zSoguIBdpfrhBwak?si=cf4f61e7621d4a70,1:48:10,MeinJurer,донат,р.5 000,нормас+,,,метал,,,,,,,,,
8) Intervals — I'm Awake,https://open.spotify.com/track/6H147Bkvdcxn7ONC99Eq6d?si=9369a5057c0445da,2:03:40,Hantrik,долг Х5⚰️,р.1 512,хорошечно++,,progressive,метал / инструментал,,,,,,,,,
9) ROOKiEZ is PUNK'D — Complication {Сложность / Complication / コンプリケイション} [2 Opening Durarara!! / Дюрарара!!],https://open.spotify.com/track/1wzgcizIWwdFPT8yMzXHIx?si=NTHnCEhyREiJQ8Ws4KxK5w&utm_source=copy-link,2:14:55,Aleks kun,донат,р.2 800,нормас++,Аниме,,поп-рок,,,,,,,,,
10) JUNNA — Here ～New version～ [1 Opening Mahoutsukai no Yome / Невеста чародея],https://music.youtube.com/watch?v=XSeAieSJUrs&si=Ws3ZquVnDwDgQozi,2:28:55,Максим Киберспорт,долг Х4☠️,р.1 000,гениально - -,,,фолк / инди,плохое сведение,,,,,,,,
11) Masayoshi Soken feat. Amanda Achen — Flow [Final Fantasy XIV: Endwalker OST],https://open.spotify.com/track/6iLfO4MgikoSwNhp21AhXh?si=8a7ddad615dc4f8b,2:43:50,Lazycat,донат,р.3 000,атлична+,Игра,,оркестровое / баллада,,,,,,,,,
12) New Trolls — III Tempo: Cadenza - Andante con moto [OST; La vittima designata / Заказанная жертва],https://open.spotify.com/track/3vvgNm0vCkVNsiSf0RuRh2?si=bab6468b167d410d,3:05:05,Веля Моря,долг Х3💀,р.2 050,атлична+,Фильм,,оркестровое / баллада / поп-рок,,,,,,,,,
13) HIM — Join Me in Death,https://youtu.be/1V4AscLidWg,3:14:15,Gryryfytygy,донат,р.3 001,хорошечно++,,,рок,,,,,,,,,
14) Magdalena Bay — Second Sleep,https://open.spotify.com/track/47N21fn8V8IN392MGlicT5,3:24:00,Matumbafan89,долг Х2,р.2 300,гениально,,,инди / оркестровое ,,,,,,,,,
15) Masayoshi Soken feat. Jason Charles Miller — Close in the Distance [FINAL FANTASY XIV: Endwalker OST],https://open.spotify.com/track/5BvMUcKxOEuCekLdQI0JIJ?si=ef72b23c790446d1,3:52:00,Lazycat,донат,р.4 400,хорошечно,Игра,,поп-рок / баллада,бесконечный трек,,,,,,,,
16) Aoi Rose — JOKI-JOKI (Official Music Video),https://www.youtube.com/watch?v=0RxBEH2F1zk,4:14:15,wend1g,долг,р.5 000,гениально - -,,,поп / электронное,,,,,,,,,
17) Clarion — Lotus,https://music.yandex.ru/album/40841938/track/148602255?utm_source=desktop&utm_medium=copy_link,4:23:00,Indie Anthems,донат,р.3 000,нормас++,,,инди / поп-рок,хороший вокал,,,,,,,,
18) BleylockBeatz — Wunschpunsch Intro Old (Michel Dax - Wunschpunsch Intro; Remix) [OST; Wunschpunsch / Вуншпунш],https://www.youtube.com/watch?v=YTQcEzFFit4,4:32:20,Rtur,долг Х7🥀,р.1 111,кринж-контент++,Фильм,remix,электронное / инструментал,,,,,,,,,
19) Masayoshi Soken — Civilizations {LAHEE} (FINAL FANTASY XIV DIGITAL FAN FESTIVAL 2021 - Day1; Live) [Final Fantasy XIV: Shadowbringers],https://www.youtube.com/watch?v=aBt4zT_PBmw,4:43:05,Lazycat,донат,р.3 200,нормас,Игра,"meme, live, remix",оркестровое / баллада,,,,,,,,,
20) ZUTOMAYO — Fig Smoke {Ichijiku Kemuri / イチジク煙} [1 Opening Smoking Behind the Supermarket with You / История о перекуре за супермаркетом],https://open.spotify.com/track/1SzUveFBheIYBW1n758uTt?si=9b5eb89bcd684350,5:01:30,kumashisan; Svd_bb,заказ,ТРЕК ВНЕ ОЧЕРЕДИ,атлична - -,Аниме,,инди / поп-рок,,,,,,,,,
21) Yasunori Mitsuda — Shadow Forest {影切りの森} [Chrono Cross OST],https://open.spotify.com/track/7LAQlFTsWaxg9mrgUjK9LY?si=7ad63d41b3fb459e,5:14:00,SinWarlock,долг Х6👻,р.1 300,атлична-,Игра,,инструментал / оркестровое / электронное,,,,,,,,,
22) Tommy heavenly6 — Unlimited Sky [OST; Mobile Suit Gundam 00 / Мобильный воин Гандам 00],https://disk.yandex.ru/d/RDc0mo6uiNsy_A,5:19:40,kittycassio,донат,р.4 888,хорошечно - -,Аниме,,поп-рок,,,,,,,,,
23) MYTH & ROID — Why? RED induction [1/2 Opening Saga of Tanya the Evil II / Военная хроника маленькой девочки 2],https://www.youtube.com/watch?v=QDcB5PBXyJ8,5:31:50,DzenDish,долг Х5⚰️,р.1 305,атлична - -,Аниме,,электронное / рок,,,,,,,,,
24) A Lot Like Birds — Shaking of the Frame,https://music.yandex.ru/album/1825759/track/16655908?utm_source=desktop&utm_medium=copy_link,5:45:15,Indie Anthems,донат,р.4 800,гениально - -,,,инди / метал,,,,,,,,,
СТРИМ №270 (20.08.26),https://vkvideo.ru/video-182074546_456239418,, ,,,,,,,,,,,,,,,
ДОЛГОВОЙ, ,, ,,,,,,,,,,,,,,,
"1) Aina Suzuki — Love is all, I sing love is all! (Сейю: Mari Ohara) [OST; Love Live! Sunshine!! / Живая любовь! Сияние!!]",https://open.spotify.com/track/0e7rdnHfOodZLDNCHdd8zW?si=14067bb59dfe4f35,12:00,Ivan_Vitalyevich; Napporaivo,заказ,р.1 000,хорошечно-,Аниме,,поп-рок,,,,,,,,,
2) Linkin Park — CASTLE OF GLASS [OST; Medal of Honor: Warfighter / Медаль за отвагу: Боец],https://open.spotify.com/track/1r1fPuhj9H4VdXr7OK6FL5?si=b3942c13dfc4422b,29:45,Enotishche,долг Х7🥀,р.1 300,атлична - -,Игра,,поп-рок,,,,,,,,,
"3) MAN WITH A MISSION & ‌milet — Koi Kogare {コイコガレ} [1/4 Ending Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc / Клинок, рассекающий демонов: Деревня кузнецов]",https://www.youtube.com/watch?v=vZUyKVE9dus,41:40,DzenDish,долг Х6👻,р.1 100,хорошечно,Аниме,,рок / поп-рок,,,,,,,,,
4) James Primate — Threat - Garbage Wastes [Rain World OST],https://open.spotify.com/track/5lsbQmQptgjDFFy3Ff5Y6o?si=3fe2cd5991a24571,54:20,UnknownSekorsky,долг Х5⚰️,р.1 300,нормас++,Игра,,инди / инструментал,,,,,,,,,
5) Yutaka Yamada — Das zweite Kapitel {Вторая глава / The Second Chapter} [OST; Tokyo Ghoul √A / Tokyo Ghoul 2nd Season / Токийский гуль √A],https://open.spotify.com/track/2RBCtGTNxSgk8Db9QBz6Xj?si=4bd9a2d9597443df,1:02:20,Meleis,долг Х4☠️,р.1 300,атлична - -,Аниме,,инди / инструментал,,,,,,,,,
6) Takanori Arisawa — Protect The Stars #1 [OST; Sailor Moon / Красавица-воин Сейлор Мун],https://www.youtube.com/watch?v=mWSNrlaknMQ,1:11:40,Rtur,долг Х3💀,р.1 411,хорошечно+,Аниме,,оркестровое / инструментал / поп,,,,,,,,,
